price,type,superficie,nombre_chambres,nombre_sdb,category,area,city
460000,Appartements,170,3,3,Location,VDN,Dakar
325000,Appartements,170,2,2,Location,Sacré-cœur,Dakar
425000,Appartements,170,2,2,Location,Almadies,Dakar
1200000,Appartements,170,3,3,Location,Almadies,Dakar
550000,Appartements,180,3,3,Location,Ouakam,Dakar
1000000,Appartements,170,3,5,Location,Point-e,Dakar
300000,Appartements,170,3,3,Location,Sicap foire,Dakar
850000,Appartements,180,3,4,Location,Point-e,Dakar
300000,Appartements,170,1,3,Location,Plateau,Dakar
1350000,Appartements,144,1,2,Location,Fann,Dakar
2000000,Villas,255,4,3,Location,Almadies,Dakar
400000,Appartements,170,2,3,Location,Dakar,Dakar
350000,Appartements,170,2,2,Location,Cité keur gorgui,Dakar
1200000,Appartements,170,3,3,Location,Fenêtre mermoz,Dakar
275000,Appartements,170,2,2,Location,Sicap foire,Dakar
550000,Appartements,200,3,3,Location,Sacré-cœur,Dakar
700000,Appartements,120,2,2,Location,Ngor,Dakar
900000,Appartements,170,3,3,Location,Mermoz,Dakar
650000,Appartements,200,3,4,Location,Mermoz,Dakar
1000000,Appartements,170,3,3,Location,Point-e,Dakar
1600000,Appartements,170,3,3,Location,Mermoz,Dakar
130000,Appartements,170,2,3,Location,Tivaouane peulh,Dakar
550000,Appartements,180,2,2,Location,Point-e,Dakar
1760000,Appartements,160,3,3,Location,VDN,Dakar
1700000,Appartements,200,3,3,Location,Fann,Dakar
3300000,Villas,260,4,6,Location,Fann,Dakar
6,Villas,170,4,3,Location,Virage,Dakar
550000,Appartements,170,3,2,Location,Cité keur gorgui,Dakar
300000,Appartements,100,2,2,Location,Ngor,Dakar
1,Appartements,1,2,2,Location,Hann maristes,Dakar
500000,Appartements,170,3,3,Location,VDN,Dakar
550000,Appartements,170,3,4,Location,Amitié,Dakar
400000,Appartements,150,3,3,Location,VDN,Dakar
2000000,Appartements,150,2,2,Location,Mermoz,Dakar
1350000,Appartements,170,3,3,Location,Almadies,Dakar
425600,Appartements,170,2,2,Location,VDN,Dakar
1010000,Appartements,202,3,3,Location,Almadies,Dakar
300000,Appartements,170,2,1,Location,Ngor,Dakar
600000,Appartements,170,1,1,Location,Corniche,Dakar
450000,Villas,100,4,3,Location,Ouakam,Dakar
650000,Appartements,170,3,3,Location,Sacré-cœur,Dakar
250000,Appartements,170,3,3,Location,Hann maristes,Dakar
1300000,Appartements,288,3,4,Location,Almadies,Dakar
700000,Appartements,170,3,3,Location,Mamelles,Dakar
1000000,Villas,300,4,4,Location,Almadies,Dakar
1864800,Appartements,290,3,2,Location,Almadies,Dakar
275000,Appartements,170,1,2,Location,Cité keur gorgui,Dakar
2000000,Villas,300,4,5,Location,Point-e,Dakar
250000,Appartements,170,2,3,Location,Parcelles Assainies,Dakar
